"name","wikidata","commons","website","image","link_commons","link_de","link_en","link_fr","link_count","long","lat","timestamp"
"Berry Museum","Q27488994","Berry Museum","http://www.berrymuseum.com/","http://commons.wikimedia.org/wiki/Special:FilePath/Berry%20Museum.jpg","https://commons.wikimedia.org/wiki/Category:Berry_Museum",,,,12,"9.837916666","46.496388888",2020-01-13 11:52:05
"Museo della civiltà contadina del Mendrisiotto (Stabio, Switzerland)","Q27488998",,"http://www.stabio.ch",,,,,,2,"8.93919","45.85117",2020-01-13 11:52:05
"Nidwaldner Museum","Q27489010",,"http://www.nidwaldner-museum.ch/",,,,,,5,"8.357242","46.960079",2020-01-13 11:52:05
"Museum im Turmhof","Q27489014",,"http://www.turmhof-museum.ch",,,,,,3,"8.982847","47.668943",2020-01-13 11:52:05
"Kunstsammlung Hans & Marlis Suter","Q27489019",,"http://www.sammlung-suter.ch","http://commons.wikimedia.org/wiki/Special:FilePath/2014-Steffisburg-Hoechhus.jpg","https://de.wikipedia.org/wiki/Kunstsammlung_Hans_%26_Marlis_Suter",,,,10,"7.63727","46.777751",2020-01-13 11:52:05
"Museum Kloster Sankt Georgen","Q27489025",,"http://www.klostersanktgeorgen.ch",,,,,,6,"8.860204","47.658572",2020-01-13 11:52:05
"Haus zum Lindwurm","Q27489027","Haus zum Lindwurm","http://www.museum-lindwurm.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Stein%20am%20Rhein%20Haus%20Lindwurm.jpg","https://commons.wikimedia.org/wiki/Category:Haus_zum_Lindwurm","https://de.wikipedia.org/wiki/Museum_Lindwurm",,,6,"8.858401","47.660593",2020-01-13 11:52:05
"Kapuzinermuseum Sursee","Q27489041","Museum der Schweizer Kapuziner",,"http://commons.wikimedia.org/wiki/Special:FilePath/Museum%20Schweizer%20Kapuziner%20IMG%204528-1.jpg","https://commons.wikimedia.org/wiki/Category:Museum_der_Schweizer_Kapuziner",,,,9,"8.11082","47.173922",2020-01-13 11:52:05
"City museum of Sursee","Q27489045","City museum of Sursee","http://www.sankturbanhof.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Sankturbanhof.jpg","https://commons.wikimedia.org/wiki/Category:City_museum_of_Sursee",,,,6,"8.10946","47.17367",2020-01-13 11:52:05
"Sensler Museum","Q27489049",,"http://www.senslermuseum.ch",,,,,,12,"7.2169975","46.81502",2020-01-13 11:52:05
"Museo comico","Q27489063",,"http://www.teatrodimitri.ch/museo-comico/",,,,,,10,"8.73142","46.18548",2020-01-13 11:52:05
"Grubenmann-Museum","Q27489068",,"http://www.zeughausteufen.ch",,,,,,11,"9.39422","47.38702",2020-01-13 11:52:05
"Village museum Therwil","Q27489078","Village museum Therwil","http://www.dorfmuseum-therwil.ch",,"https://commons.wikimedia.org/wiki/Category:Village_museum_Therwil",,,,8,"7.55296","47.49724",2020-01-13 11:52:05
"SwissJazzOrama","Q27489641","Swissjazzorama","http://www.jazzorama.ch",,"https://commons.wikimedia.org/wiki/Category:Swissjazzorama","https://de.wikipedia.org/wiki/Swissjazzorama","nl",,1,"8.706743","47.356256",2020-01-13 11:52:05
"Klostermuseum Müstair","Q27489653","Monastery of Saint John in Müstair","http://www.muestair.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Val%20m%C3%BCstair6.jpg",,,,,9,"10.44873","46.63007",2020-01-13 11:52:05
"Schloss und Museum Valangin","Q27489666",,"http://chateau-de-valangin.ch",,,,,,10,"6.90651","47.01447",2020-01-13 11:52:05
"Landwirtschaftsmuseum","Q27489674",,"http://www.musee-agricole.ch",,,,,,0,"6.86125","47.00865",2020-01-13 11:52:05
"Ecomuseum Haute-Areuse","Q27489676",,"http://www.groupe-e.ch/ecomusee",,,,,,2,"6.549426","46.911114",2020-01-13 11:52:05
"Regional museum des Val-de-Travers","Q27489698","Regional museum des Val-de-Travers","http://mrvt.ch","http://commons.wikimedia.org/wiki/Special:FilePath/B-Motiers-Musee-du-Val-de-Travers-2.jpg","https://commons.wikimedia.org/wiki/Category:Regional_museum_des_Val-de-Travers",,,,1,"6.61196","46.90968",2020-01-13 11:52:05
"Musée Gadagne (Lyon, France)","Q27489725","Vevey historical museum","http://www.museehistoriquevevey.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Vevey%20-%20Mus%C3%A9e%20historique%20-%20Albert%20Naef%20-%20Cr%C3%A9deyles%20-%201.jpg","https://commons.wikimedia.org/wiki/Category:Vevey_historical_museum",,,,7,"6.84885","46.45825",2020-01-13 11:52:05
"Fondation du Château de Chillon","Q27489731","Interior of Chillon","http://www.chillon.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Chillon%20HPS%20DSC03780.JPG","https://commons.wikimedia.org/wiki/Category:Interior_of_Chillon",,,,7,"6.92736","46.41422",2020-01-13 11:52:05
"Marchmuseum","Q27489744",,"http://www.marchring.ch",,,,,,11,"8.89731","47.13837",2020-01-13 11:52:05
"Musée du Chablais","Q27489746",,"http://www.musee-chablais.ch",,,,,,9,"6.887601","46.349175",2020-01-13 11:52:05
"Uhrenmuseum «uhrundzeit»","Q27489810",,"http://www.welschenrohr.ch/kultur-freizeit/kultuhrfabrik/uhrundzeit/",,,,,,5,"7.5277","47.28058",2020-01-13 11:52:05
"Stadtmuseum Wil","Q27489831","Stadtmuseum Wil","http://www.stadtmuseum-wil.ch",,"https://commons.wikimedia.org/wiki/Category:Stadtmuseum_Wil",,,,10,"9.050172","47.467661",2020-01-13 11:52:05
"Museum Briner und Kern","Q27489876",,"http://museumbrinerundkern.ch/",,,,,,10,"8.729","47.5004",2020-01-13 11:52:05
"Strohmuseum im Park","Q27489892",,"http://www.strohmuseum.ch",,,,,,3,"8.274764","47.350756",2020-01-13 11:52:05
"Wolfhalden museum","Q27489895","Wolfhalden museum","http://www.museumwolfhalden.ch",,"https://commons.wikimedia.org/wiki/Category:Wolfhalden_museum",,,,1,"9.55216","47.45338",2020-01-13 11:52:05
"Zentrum Pro Natura in Champ-Pittet","Q27489941",,"http://www.pronatura.ch/champ-pittet",,,,,,10,"6.6659","46.78364",2020-01-13 11:52:05
"Maison d'Ailleurs","Q27489975","Maison d'Ailleurs","http://www.ailleurs.ch/","http://commons.wikimedia.org/wiki/Special:FilePath/Yverdon%20Utopiemuseum.JPG","https://commons.wikimedia.org/wiki/Category:Maison_d%27Ailleurs","https://en.wikipedia.org/wiki/Maison_d%27Ailleurs","https://fr.wikipedia.org/wiki/Maison_d%27Ailleurs",,9,"6.642","46.7787",2020-01-13 11:52:05
"Swiss Fashion Museum","Q27489999","Swiss Fashion Museum","http://www.museemode.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Yverdon%20Modemuseum.JPG","https://commons.wikimedia.org/wiki/Category:Swiss_Fashion_Museum",,,,9,"6.641301","46.778222",2020-01-13 11:52:05
"Village museum Ziefen","Q27490145","Village museum Ziefen","http://www.fuenflibertal-tourismus.ch",,"https://commons.wikimedia.org/wiki/Category:Village_museum_Ziefen",,,,13,"7.70748","47.43271",2020-01-13 11:52:05
"Museum in der Burg Zug","Q27490186",,"http://www.burgzug.ch","http://commons.wikimedia.org/wiki/Special:FilePath/Zug%20Burg%20Zug%20und%20Museum%201.jpg",,,,,8,"8.51677","47.16512",2020-01-13 11:52:05
"focusTerra - ETH Zürich","Q27490233",,"http://www.focusterra.ethz.ch",,,,,,4,"8.54771","47.37779",2020-01-13 11:52:05
"Graphische Sammlung der ETH","Q27490235",,"http://www.gs.ethz.ch",,,,,,13,"8.54803","47.37658",2020-01-13 11:52:05
